phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
n,n,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,416.87951,417.29986,FNiralee1_52,ANA,52,F,t_0432187,TGT,stimuli_raw/wav/Mnirbhay2.wav,52,Mnirbhay2_52,ENG,205.31,204.85,M,Mnirbhay,ANA,0.21833562654676375
s,s,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,696.1034,696.60946,FNiralee1_89,ASA,89,F,t_0461498,TGT,stimuli_raw/wav/Mnirbhay2.wav,89,Mnirbhay2_89,ENG,355.08,354.65,M,Mnirbhay,ASA,0.2120025999876648
s,s,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,350.17028,350.62834,FNiralee2_89,ASA,89,F,t_0943226,TGT,stimuli_raw/wav/Mnirbhay1.wav,90,Mnirbhay1_90,ENG,635.03792,634.49285,M,Mnirbhay,ASA,0.24890319219713694
s,s,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,298.82232,299.19,Mrajesh1_89,ASA,89,M,t_1077281,TGT,stimuli_raw/wav/Fbhavya1.wav,93,Fbhavya1_93,ENG,585.89054,585.50872,F,Fbhavya,ASA,0.26182941484139816
s,s,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,698.36577,698.8122900000003,FNiralee1_90,ASA,90,F,t_0943200,TGT,stimuli_raw/wav/Mnirbhay1.wav,90,Mnirbhay1_90,ENG,635.03792,634.49285,M,Mnirbhay,ASA,0.25242314836541035
s,s,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,698.36577,698.8122900000003,FNiralee1_90,ASA,90,F,t_0943074,TGT,stimuli_raw/wav/Mnirbhay1.wav,90,Mnirbhay1_90,ENG,635.03792,634.49285,M,Mnirbhay,ASA,0.25242314836541035
s,s,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,297.06056,297.46,Mrajesh1_88,ASA,88,M,t_0592375,TGT,stimuli_raw/wav/Fbhavya2.wav,90,Fbhavya2_90,ENG,260.83946000000003,260.44,F,Fbhavya,ASA,0.24538795283308762
tʰ,tʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,155.72736,156.25828,FNiralee2_45,ATHA,45,F,t_0901173,TGT,stimuli_raw/wav/Mnirbhay1.wav,43,Mnirbhay1_43,ENG,294.78,294.29,M,Mnirbhay,ATHA,0.28269023978771024
tʰ,tʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,151.1213,151.6,FNiralee2_43,ATHA,43,F,t_0902053,TGT,stimuli_raw/wav/Mnirbhay1.wav,44,Mnirbhay1_44,ENG,296.97402999999997,296.39,M,Mnirbhay,ATHA,0.23513631288567086
tʰ,tʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,356.64808,357.12737999999996,FNiralee1_44,ATHA,44,F,t_0903521,TGT,stimuli_raw/wav/Mnirbhay1.wav,45,Mnirbhay1_45,ENG,299.31,298.86,M,Mnirbhay,ATHA,0.21690541483652684
tʰ,tʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,122.7473,123.14,Mrajesh2_45,ATHA,45,M,t_0540747,TGT,stimuli_raw/wav/Fbhavya2.wav,45,Fbhavya2_45,ENG,141.64,141.25,F,Fbhavya,ATHA,0.22394209177315622
tʰ,tʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,122.7473,123.14,Mrajesh2_45,ATHA,45,M,t_1019652,TGT,stimuli_raw/wav/Fbhavya1.wav,44,Fbhavya1_44,ENG,302.12617,301.67338,F,Fbhavya,ATHA,0.23595827972085343
tʰ,tʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,151.1213,151.6,FNiralee2_43,ATHA,43,F,t_0902089,TGT,stimuli_raw/wav/Mnirbhay1.wav,44,Mnirbhay1_44,ENG,296.97402999999997,296.39,M,Mnirbhay,ATHA,0.23513631288567086
t͡ʃʰ,t͡ʃʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,146.14092,146.63,FNiralee1_18,ATXHA,18,F,t_0872778,TGT,stimuli_raw/wav/Mnirbhay1.wav,17,Mnirbhay1_17,ENG,106.04,105.58,M,Mnirbhay,ATXHA,0.19315594939587138
t͡ʃʰ,t͡ʃʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,52.23788,52.59264,Mrajesh2_18,ATXHA,18,M,t_0121809,TGT,stimuli_raw/wav/FNiralee2.wav,17,FNiralee2_17,ENG,64.0105,63.48,F,FNiralee,ATXHA,0.19977024629099027
t͡ʃʰ,t͡ʃʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,141.90668,142.41555,FNiralee1_16,ATXHA,16,F,t_0392839,TGT,stimuli_raw/wav/Mnirbhay2.wav,18,Mnirbhay2_18,ENG,67.7,67.22,M,Mnirbhay,ATXHA,0.17425026475380154
t͡ʃʰ,t͡ʃʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,144.06573,144.56335,FNiralee1_17,ATXHA,17,F,t_0390410,TGT,stimuli_raw/wav/Mnirbhay2.wav,16,Mnirbhay2_16,ENG,61.96,61.44,M,Mnirbhay,ATXHA,0.18417812148491672
t͡ʃʰ,t͡ʃʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,102.34576,102.75,Mrajesh1_16,ATXHA,16,M,t_0497608,TGT,stimuli_raw/wav/Fbhavya2.wav,16,Fbhavya2_16,ENG,54.86326,54.46,F,Fbhavya,ATXHA,0.21755120603076283
t͡ʃʰ,t͡ʃʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,104.15401999999999,104.55,Mrajesh1_17,ATXHA,17,M,t_0499661,TGT,stimuli_raw/wav/Fbhavya2.wav,18,Fbhavya2_18,ENG,59.07796,58.67,F,Fbhavya,ATXHA,0.2014142114910903
