phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
ʈʰ,b,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,90.98209,91.36,Mrajesh2_32,ATRHA,32,M,t_0998627,OTH,stimuli_raw/wav/FNiralee1.wav,62,FNiralee1_62,ENG,477.40014,476.94867999999997,F,FNiralee,ABA,0.3582059903874963
ʈʰ,g,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,139.68812,140.09,Mrajesh1_32,ATRHA,32,M,t_1000673,OTH,stimuli_raw/wav/FNiralee1.wav,8,FNiralee1_8,ENG,89.3136,88.84195,F,FNiralee,AGA,0.2997228786924939
ʈʰ,l,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,117.36769,117.9,FNiralee2_32,ATRHA,32,F,t_0889436,OTH,stimuli_raw/wav/Mrajesh1.wav,77,Mrajesh1_77,ENG,266.02283,265.6,M,Mrajesh,ALA,0.35947057032985225
ʈʰ,m,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,119.82003999999999,120.37226000000001,FNiralee2_33,ATRHA,33,F,t_0406530,OTH,stimuli_raw/wav/Mrajesh1.wav,67,Mrajesh1_67,ENG,239.16,238.8,M,Mrajesh,AMA,0.3774476609861586
ʈʰ,s,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,89.14985,89.57,Mrajesh2_31,ATRHA,31,M,t_0520213,OTH,stimuli_raw/wav/FNiralee1.wav,90,FNiralee1_90,ENG,698.8122900000001,698.36577,F,FNiralee,ASA,0.32690049999559856
ʈʰ,ɦ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,92.80223000000001,93.2,Mrajesh2_33,ATRHA,33,M,t_1001220,OTH,stimuli_raw/wav/FNiralee1.wav,92,FNiralee1_92,ENG,713.6301900000001,713.12009,F,FNiralee,AHHA,0.3349420457036531
ʈʰ,ɾ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,137.67462,138.11,Mrajesh1_31,ATRHA,31,M,t_0521827,OTH,stimuli_raw/wav/Fsakshi2.wav,75,Fsakshi2_75,ENG,311.49,311.10427999999996,F,Fsakshi,ARA,0.3631210306845089
ʈʰ,ʃ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,137.67462,138.11,Mrajesh1_31,ATRHA,31,M,t_1003468,OTH,stimuli_raw/wav/FNiralee1.wav,82,FNiralee1_82,ENG,647.79427,647.29597,F,FNiralee,AXA,0.3299840648893034
b,b,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,170.72062,171.12,Mrajesh2_62,ABA,62,M,t_0560306,TGT,stimuli_raw/wav/Fbhavya2.wav,63,Fbhavya2_63,ENG,188.62993,188.27312,F,Fbhavya,ABA,0.1760895428086013
bʱ,bʱ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,180.16218,180.53,Mrajesh2_66,ABHA,66,M,t_0563787,TGT,stimuli_raw/wav/Fbhavya2.wav,65,Fbhavya2_65,HIN,194.56529,194.15,F,Fbhavya,ABHA,0.19489377464110416
d,d,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,181.49373,181.88,Mrajesh1_47,ADA,47,M,t_0542840,TGT,stimuli_raw/wav/Fbhavya2.wav,47,Fbhavya2_47,ENG,147.34769,146.99549,F,Fbhavya,ADA,0.21796091040540194
dʱ,dʱ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,401.58646,402.09008,FNiralee1_51,ADHA,51,F,t_0431019,TGT,stimuli_raw/wav/Mnirbhay2.wav,51,Mnirbhay2_51,HIN,199.8,199.37,M,Mnirbhay,ADHA,0.29984169559345125
d͡ʒ,d͡ʒ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,59.98104,60.35148,Mrajesh2_21,ADXA,21,M,t_0502546,TGT,stimuli_raw/wav/Fbhavya2.wav,20,Fbhavya2_20,ENG,65.65195,65.26,F,Fbhavya,ADXA,0.21241224980955434
d͡ʒʱ,d͡ʒʱ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,93.5,94.09103,FNiralee2_25,ADXHA,25,F,t_0400138,TGT,stimuli_raw/wav/Mnirbhay2.wav,25,Mnirbhay2_25,HIN,97.87,97.37,M,Mnirbhay,ADXHA,0.1934760634410238
g,g,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,31.150879999999997,31.74054000000001,FNiralee2_9,AGA,9,F,t_0862941,TGT,stimuli_raw/wav/Mnirbhay1.wav,7,Mnirbhay1_7,ENG,45.27,44.81,M,Mnirbhay,AGA,0.21880193787102573
j,j,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,191.09,191.54,Mrajesh2_70,AJA,70,M,t_0572353,TGT,stimuli_raw/wav/Fbhavya2.wav,70,Fbhavya2_70,ENG,208.62927,208.24,F,Fbhavya,AJA,0.24234347866259223
kʰ,kʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,17.15,17.81,FNiralee2_4,AKHA,4,F,t_0861427,TGT,stimuli_raw/wav/Mnirbhay1.wav,6,Mnirbhay1_6,ENG,30.12,29.65,M,Mnirbhay,AKHA,0.24185186637430706
l,l,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,209.22802,209.53,Mrajesh2_78,ALA,78,M,t_1066200,TGT,stimuli_raw/wav/Fbhavya1.wav,79,Fbhavya1_79,ENG,515.26385,514.9,F,Fbhavya,ALA,0.20601762680021926
m,m,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,523.48494,523.88923,FNiralee1_67,AMA,67,F,t_0686224,TGT,stimuli_raw/wav/Mrajesh2.wav,69,Mrajesh2_69,ENG,187.88,187.55426,M,Mrajesh,AMA,0.2090750722524439
